crop_code,unit_cd,mean_cf_nat,mean_cf1,mean_cf2,mean_cf3,mean_cf4,mean_cf6,mean_cf7,mean_cf12,mean_cf99,note
1. BARLEY,151. Sahin Small,0.6899999976158142,0.6899999976158142,0.6899999976158142,0.6899999976158142,0.6899999976158142,0.6899999976158142,0.6899999976158142,0.6899999976158142,0.6899999976158142,Used jog ratio for teff to estimate container CF

1. BARLEY,152. Sahin Medium,1.1119999885559082,1.1119999885559082,1.1119999885559082,1.1119999885559082,1.1119999885559082,1.1119999885559082,1.1119999885559082,1.1119999885559082,1.1119999885559082,Used jog ratio for teff to estimate container CF

1. BARLEY,153. Sahin Large,1.8589999675750728,1.8589999675750728,1.8589999675750728,1.8589999675750728,1.8589999675750728,1.8589999675750728,1.8589999675750728,1.8589999675750728,1.8589999675750728,Used jog ratio for teff to estimate container CF

1. BARLEY,171. Sini Small,0.0419999994337558,0.0419999994337558,0.0419999994337558,0.0419999994337558,0.0419999994337558,0.0419999994337558,0.0419999994337558,0.0419999994337558,0.0419999994337558,Used jog ratio for teff to estimate container CF

1. BARLEY,172. Sini Medium,0.0719999969005584,0.0719999969005584,0.0719999969005584,0.0719999969005584,0.0719999969005584,0.0719999969005584,0.0719999969005584,0.0719999969005584,0.0719999969005584,Used jog ratio for teff to estimate container CF

1. BARLEY,181. Tasa/Tanika/Shember/Selemon Small,0.3479999899864197,0.2800000011920929,0.3479999899864197,0.3659999966621399,0.3479999899864197,0.2800000011920929,0.3479999899864197,0.3479999899864197,0.3479999899864197,

1. BARLEY,182. Tasa/Tanika/Shember/Selemon Medium,0.6499999761581421,0.5649999976158142,0.6499999761581421,0.652999997138977,0.6320000290870667,0.574999988079071,0.6679999828338623,0.6499999761581421,0.6800000071525574,

1. BARLEY,183. Tasa/Tanika/Shember/Selemon Large,0.912999987602234,1.0199999809265137,1.031999945640564,0.9919999837875366,0.912999987602234,0.912999987602234,0.824999988079071,0.912999987602234,0.7850000262260437,

2. MAIZE,1. Kilogram,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,

2. MAIZE,2. Gram,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,

2. MAIZE,3. Quintal,,,,,,,,,,

2. MAIZE,8. Jog,0.9879999756813048,0.9100000262260436,0.9879999756813048,1.0,0.9980000257492064,0.9879999756813048,1.0099999904632568,0.9879999756813048,0.9700000286102296,

2. MAIZE,21. Akumada/Dawla/Lekota Small,27.632999420166016,27.225000381469727,28.450000762939453,27.632999420166016,27.632999420166016,27.632999420166016,27.632999420166016,27.632999420166016,27.632999420166016,

2. MAIZE,22. Akumada/Dawla/Lekota Large,50.33300018310547,51.5,50.33300018310547,48.0,50.33300018310547,50.33300018310547,50.33300018310547,50.33300018310547,50.33300018310547,

2. MAIZE,31. Birchiko Small,0.1609999984502792,0.1609999984502792,0.1609999984502792,0.1609999984502792,0.1609999984502792,0.1609999984502792,0.1609999984502792,0.1609999984502792,0.1609999984502792,

2. MAIZE,32. Birchiko Medium,0.2179999947547912,0.2179999947547912,0.2179999947547912,0.2179999947547912,0.2179999947547912,0.2179999947547912,0.2179999947547912,0.2179999947547912,0.2179999947547912,

2. MAIZE,33. Birchiko Large,0.2720000147819519,0.2720000147819519,0.2720000147819519,0.2720000147819519,0.2750000059604645,0.2720000147819519,0.2649999856948852,0.2720000147819519,0.2720000147819519,

2. MAIZE,81. Joniya/Kasha Small,37.8129997253418,37.8129997253418,31.0,38.26900100708008,41.22700119018555,37.8129997253418,37.8129997253418,32.0,37.8129997253418,

2. MAIZE,82. Joniya/Kasha Medium,70.34600067138672,57.75,60.83300018310547,58.85699844360352,,70.0,,,70.34600067138672,

2. MAIZE,83. Joniya/Kasha Large,,,,,,,,,,

2. MAIZE,92. Kerchat/Kemba Medium,21.06999969482422,21.06999969482422,21.06999969482422,21.0,21.06999969482422,21.06999969482422,21.13999938964844,21.06999969482422,21.06999969482422,

2. MAIZE,101. Kubaya/Cup Small,0.2709999978542328,0.2709999978542328,0.2709999978542328,0.2709999978542328,0.2800000011920929,0.2709999978542328,0.270000010728836,0.2709999978542328,0.2709999978542328,

2. MAIZE,102. Kubaya/Cup Medium,0.3440000116825104,0.3700000047683716,0.3440000116825104,0.3100000023841858,0.4000000059604645,0.3440000116825104,0.3240000009536743,0.3440000116825104,0.3440000116825104,

2. MAIZE,103. Kubaya/Cup Large,0.703000009059906,0.703000009059906,0.703000009059906,0.703000009059906,0.703000009059906,0.6050000190734863,0.7549999952316284,0.5799999833106995,0.703000009059906,

2. MAIZE,111. Kunna/Mishe/Kefer/Enkib Small,5.958000183105469,4.985000133514404,5.627999782562256,6.019999980926514,7.070000171661377,5.958000183105469,5.958000183105469,5.958000183105469,5.958000183105469,

2. MAIZE,112. Kunna/Mishe/Kefer/Enkib Medium,10.616999626159668,9.177000045776367,9.045000076293944,10.904000282287598,11.836999893188477,10.616999626159668,10.616999626159668,10.616999626159668,10.616999626159668,

2. MAIZE,113. Kunna/Mishe/Kefer/Enkib Large,24.4379997253418,27.413000106811523,28.450000762939453,24.4379997253418,24.4379997253418,24.4379997253418,24.4379997253418,24.4379997253418,24.4379997253418,

2. MAIZE,121. Madaberia/Nuse/Shera/Cheret Small,37.8129997253418,37.8129997253418,31.0,38.26900100708008,41.22700119018555,37.8129997253418,37.8129997253418,32.0,37.8129997253418,

2. MAIZE,122. Madaberia/Nuse/Shera/Cheret Medium,70.34600067138672,57.75,60.83300018310547,58.85699844360352,,70.0,,,70.34600067138672,

2. MAIZE,123. Madaberia/Nuse/Shera/Cheret Large,,,,,,,,,,

2. MAIZE,131. Medeb Small,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,

2. MAIZE,132. Medeb Medium,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,

2. MAIZE,133. Medeb Large,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,

2. MAIZE,141. Piece/number Small,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,

2. MAIZE,142. Piece/number Medium,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,0.3400000035762787,

2. MAIZE,143. Piece/number Large,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,0.4300000071525574,

2. MAIZE,151. Sahin Small,0.9110000133514404,0.9110000133514404,0.9110000133514404,0.9110000133514404,0.9110000133514404,0.9110000133514404,0.9110000133514404,0.9110000133514404,0.9110000133514404,

2. MAIZE,152. Sahin Medium,1.4290000200271606,1.4290000200271606,1.340000033378601,1.4359999895095823,1.4290000200271606,1.4290000200271606,1.437999963760376,1.4290000200271606,1.4290000200271606,

2. MAIZE,153. Sahin Large,2.325000047683716,2.325000047683716,2.325000047683716,2.325000047683716,2.325000047683716,2.325000047683716,2.325000047683716,2.325000047683716,2.325000047683716,

2. MAIZE,171. Sini Small,0.050000000745058,0.050000000745058,0.050000000745058,0.050000000745058,0.050000000745058,0.050000000745058,0.050000000745058,0.050000000745058,0.050000000745058,Used jog ratio for teff to estimate container CF

2. MAIZE,172. Sini Medium,0.0860000029206276,0.0860000029206276,0.0860000029206276,0.0860000029206276,0.0860000029206276,0.0860000029206276,0.0860000029206276,0.0860000029206276,0.0860000029206276,Used jog ratio for teff to estimate container CF

2. MAIZE,181. Tasa/Tanika/Shember/Selemon Small,0.4379999935626983,0.4379999935626983,0.4379999935626983,0.3540000021457672,0.3980000019073486,0.5,0.5130000114440918,0.4379999935626983,0.3700000047683716,

2. MAIZE,182. Tasa/Tanika/Shember/Selemon Medium,0.7900000214576721,0.7200000286102295,0.7900000214576721,0.7350000143051147,0.7879999876022339,0.7900000214576721,0.7919999957084656,0.7900000214576721,0.8999999761581421,

